uniprot,series,has_smiles_hit,smiles_hit_num,smiles_hit_rate,smiles_hit_fraction,has_scaffold_hit,scaffold_hit_rate,scaffold_hit_fraction,normalized_affinity_sum,max_normalized_affinity,normalized_affinity_count_>=_0.5,normalized_affinity_count_>=_0.8,normalized_affinity_count_>=_0.9,normalized_affinity_count_>=_0.95,normalized_affinity_count_>=_0.99,max_normalized_affinity_count_>=_0.5,max_normalized_affinity_count_>=_0.8,max_normalized_affinity_count_>=_0.9,max_normalized_affinity_count_>=_0.95,max_normalized_affinity_count_>=_0.99
P12931,Sries10152,False,0,0.0,0.0,True,0.515,0.07142857142857142,0.0,,0,0,0,0,0,0,0,0,0,0
P06239,Sries10363,False,0,0.0,0.0,True,0.16,0.08333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
P00742,Sries10521,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P00749,Sries10756,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1097,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries11217,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P24941,Sries11344,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P35968,Sries11589,False,0,0.0,0.0,True,0.21,0.375,0.0,,0,0,0,0,0,0,0,0,0,0
P12931,Sries11626,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1166,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries11705,True,2,0.01,0.029411764705882353,True,0.535,0.5,0.7820527119219322,0.5799021660630185,1,0,0,0,0,True,False,False,False,False
P12821,Sries1233,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1236,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P31645,Sries12826,True,1,0.005,0.02631578947368421,True,0.225,0.25,0.41649869379694043,0.41649869379694043,0,0,0,0,0,False,False,False,False,False
Q05397,Sries12970,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P29274,Sries12999,True,1,0.005,0.034482758620689655,True,0.035,0.1,0.846951081881399,0.846951081881399,1,1,0,0,0,True,True,False,False,False
P00533,Sries13081,False,0,0.0,0.0,True,0.46,0.1111111111111111,0.0,,0,0,0,0,0,0,0,0,0,0
P18031,Sries13306,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P14174,Sries13320,True,2,0.01,0.13333333333333333,True,0.22,0.25,0.4920374723098213,0.3159163398488577,0,0,0,0,0,False,False,False,False,False
Q92731,Sries13345,True,2,0.01,0.058823529411764705,True,0.115,0.2857142857142857,0.6596757623848163,0.3628901140414119,0,0,0,0,0,False,False,False,False,False
P00734,Sries13362,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q16539,Sries13439,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P06239,Sries13463,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries13475,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P41145,Sries13577,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P06239,Sries13583,False,0,0.0,0.0,True,0.085,0.05263157894736842,0.0,,0,0,0,0,0,0,0,0,0,0
P55055,Sries13659,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12931,Sries13686,False,0,0.0,0.0,True,0.095,0.04,0.0,,0,0,0,0,0,0,0,0,0,0
P45452,Sries13975,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
